LastName	Pinyin
甲	jiǎ
贾	jiǎ
家	jiā
嘉	jiā
加	jiā
佳	jiā
夹谷	jiā gǔ
建	jiàn
剑	jiàn
谏	jiàn
检	jiǎn
剪	jiǎn
简	jiǎn
翦	jiǎn
謇	jiǎn
蹇	jiǎn
坚	jiān
菅	jiān
鉴姓	jiàn xìng
绛	jiàng
蒋	jiǎng
江	jiāng
姜	jiāng
将	jiāng
佼	jiǎo
矫	jiǎo
缴	jiǎo
郊	jiāo
胶	jiāo
焦	jiāo
竭	jié
节	jié
捷	jié
颉	jié
介	jiè
芥	jiè
接	jiē
揭	jiē
进	jìn
晋	jìn
靳	jìn
金	jīn
敬	jìng
靖	jìng
镜	jìng
井	jǐng
景	jǐng
京	jīng
经	jīng
荆	jīng
咎	jiù
九	jiǔ
酒	jiǔ
九方	jiǔ fāng
局	jú
巨	jù
俱	jù
剧	jù
驹	jū
鞠	jū
琚	jū
居	jū
沮渠	jǔ qú
圈	juàn
卷	juǎn
角	jué
隽	jùn
军	jūn
君	jūn
凯	kǎi
开	kāi
阚	kàn
撖	kǎn
坎	kǎn
亢	kàng
抗	kàng
康	kāng
靠	kào
考	kǎo
克	kè
客	kè
可	kě
柯	kē
孔	kǒng
空	kōng
寇	kòu
库	kù
苦	kǔ
窟贺	kū hè
郐	kuài
蒯	kuǎi
狂	kuáng
邝	kuàng
况	kuàng
旷	kuàng
匡	kuāng
魁	kuí
夔	kuí
蒉	kuì
腊	là
喇	lǎ
拉	lā
来	lái
莱	lái
赖	lài
兰	lán
蓝	lán
郎	láng
浪	làng
朗	lǎng
劳	láo
牢	láo
老	lǎo
勒	lè
乐王	lè wáng
雷	léi
类	lèi
耒	lěi
磊	lěi
冷	lěng
黎	lí
犁	lí
力	lì
历	lì
厉	lì
利	lì
励	lì
隶	lì
荔	lì
郦	lì
栗	lì
礼	lǐ
李	lǐ
里	lǐ
理	lǐ
里安	lǐ ān
荔非	lì fēi
莲	lián
连	lián
联	lián
廉	lián
练	liàn
敛	liǎn
良	liáng
梁	liáng
粱	liáng
梁丘	liáng qīu
聊	liáo
廖	liào
列	liè
烈	liè
林	lín
蔺	lìn
凌	líng
零	líng
令	lìng
令狐	ling hú
刘	liú
留	liú
六	liù
柳	liǔ
刘傅	liú fù
泷	lóng
